,n_samples,simulation,criterion,average,error
0,5,joint_normal,mae,0.0807453545048681,0.002265407054376548
1,5,joint_normal,mse,0.07652700877942761,0.0007410910694465282
2,5,joint_normal,friedman_mse,0.07828028045772803,0.002184569648031704
3,5,sine_4pi,mae,0.05606176536977632,0.0006814731533294151
4,5,sine_4pi,mse,0.058544779939466926,0.001554725919431756
5,5,sine_4pi,friedman_mse,0.05545067296786379,0.0009749469369604959
6,5,sine_16pi,mae,0.05492460615438301,0.000375365470707378
7,5,sine_16pi,mse,0.0558161257852372,0.0005508326774814972
8,5,sine_16pi,friedman_mse,0.055550861757139226,0.0010920980438449347
9,5,multi_noise,mae,0.0749439500322878,0.0015675723419679329
10,5,multi_noise,mse,0.07555113912445907,0.0006824779277055491
11,5,multi_noise,friedman_mse,0.07792246963874502,0.0015808651958442712
12,5,step,mae,0.5565061158611304,0.012536396684520048
13,5,step,mse,0.5736551575641372,0.024722845305768557
14,5,step,friedman_mse,0.554481941900395,0.01185304101374
15,5,spiral,mae,3.062814254883725,0.045746888198061074
16,5,spiral,mse,3.137785910634781,0.1436017487824001
17,5,spiral,friedman_mse,3.074466729732964,0.06660974664825836
18,5,circle,mae,0.05764097561532745,0.0024234729531376724
19,5,circle,mse,0.05792731155500704,0.0023473178458146278
20,5,circle,friedman_mse,0.062247934607016386,0.002560122279294354
21,5,ellipse,mae,0.06189148091130368,0.002212135748342686
22,5,ellipse,mse,0.060707736944051516,0.003576998154814385
23,5,ellipse,friedman_mse,0.05560666371903085,0.0011583613608179373
24,5,diamond,mae,0.04518938642019589,0.0003564109270205495
25,5,diamond,mse,0.04626412520169247,0.001349084968342793
26,5,diamond,friedman_mse,0.044722679969878235,0.00046539662196707726
27,5,log,mae,0.23116821377021957,0.003390045346561683
28,5,log,mse,0.24021318388349408,0.009153086079225386
29,5,log,friedman_mse,0.26942294350455037,0.020751080098834244
30,5,quadratic,mae,3.14231840900736,0.17943396944854223
31,5,quadratic,mse,3.265428772612605,0.172308773845298
32,5,quadratic,friedman_mse,3.2847402711901674,0.1897827665296582
33,5,w_shape,mae,3.7298516742225396,0.01533741226876415
34,5,w_shape,mse,3.079711285880185,0.036719892810898186
35,5,w_shape,friedman_mse,4.502964419544915,0.23884056528251246
36,5,two_parabolas,mae,0.026338813735135587,0.00032448827003973195
37,5,two_parabolas,mse,0.03111406846484205,0.0013477526202101083
38,5,two_parabolas,friedman_mse,0.028520817167502592,0.0004997516656326247
39,5,fourth_root,mae,0.20461255840872158,0.0023227978728984117
40,5,fourth_root,mse,0.23249620973457139,0.017572528888670187
41,5,fourth_root,friedman_mse,0.19555705313053345,0.0027213404169344974
42,5,multi_indept,mae,0.09239955343999977,0.0038298920264137138
43,5,multi_indept,mse,0.08532633691915628,0.0025720871097039523
44,5,multi_indept,friedman_mse,0.08943727181977983,0.004347052003109824
45,5,bernoulli,mae,1.4670486192460537,0.020246103816126824
46,5,bernoulli,mse,1.3701784650585682,0.00903072670815755
47,5,bernoulli,friedman_mse,1.5820069168923965,0.06165697163165039
48,5,square,mae,0.045007415419373545,0.00024531299055086293
49,5,square,mse,0.04703775846194691,0.0013237980347003977
50,5,square,friedman_mse,0.045019609556731136,0.000653423565939246
51,5,linear,mae,0.7962414554574735,0.01605085376636127
52,5,linear,mse,0.771960000790108,0.007439629035655024
53,5,linear,friedman_mse,0.78284879327897,0.023495071079124095
54,5,exponential,mae,61.83006712388294,1.3852828528961625
55,5,exponential,mse,66.14646889675487,0.2970130372040502
56,5,exponential,friedman_mse,71.1384551658115,8.951805782473864
57,5,cubic,mae,121.93759468428604,3.0130720976312224
58,5,cubic,mse,127.35388400396963,0.6147538627055459
59,5,cubic,friedman_mse,122.49574119198155,1.592409856879289
60,10,joint_normal,mae,0.07654390637911382,0.000752733222059597
61,10,joint_normal,mse,0.07532422055142446,0.0006358138735724953
62,10,joint_normal,friedman_mse,0.07900007570532062,0.0016690665409615142
63,10,sine_4pi,mae,0.05368607477931564,0.00036968804149699563
64,10,sine_4pi,mse,0.053397511624276674,0.0001769335803624309
65,10,sine_4pi,friedman_mse,0.053330952235353966,0.0006206804163007165
66,10,sine_16pi,mae,0.05430431448097704,0.0005674522418659989
67,10,sine_16pi,mse,0.052712362065292194,0.0001290435690382133
68,10,sine_16pi,friedman_mse,0.0525700875593436,0.00021436384315574164
69,10,multi_noise,mae,0.0771593359823112,0.00045141550352951354
70,10,multi_noise,mse,0.07621954290463902,0.0010176901715103263
71,10,multi_noise,friedman_mse,0.07718893147304912,0.0004564505028024908
72,10,step,mae,0.5620597879532746,0.006156953238738479
73,10,step,mse,0.5597415689476957,0.0016328620255372298
74,10,step,friedman_mse,0.5532026636132004,0.002848331836722023
75,10,spiral,mae,3.1348605316702014,0.0750181947556511
76,10,spiral,mse,3.435394251121829,0.05276517745410883
77,10,spiral,friedman_mse,3.2981894304229145,0.1094155187279936
78,10,circle,mae,0.05873873999111547,0.0025830009184779506
79,10,circle,mse,0.058539462576673015,0.0025040431890551197
80,10,circle,friedman_mse,0.05907619061283438,0.002087994914404507
81,10,ellipse,mae,0.05411455259007657,0.0006374196213200685
82,10,ellipse,mse,0.05812944726408611,0.0015370370662199178
